Category;Phi 3 mini no COT;Phi 3 mini with COT;Llama 3 no COT;Llama 3 with COT;Starling alpha no COT;Starling alpha with COT
hypernymy - animals;0.88;0.98;0.60;0.72;0.92;0.94
hypernymy - misc;0.62;0.84;0.46;0.48;0.76;0.80
hyponymy - misc;0.28;0.32;0.24;0.32;0.38;0.40
meronymy - substance;0.38;0.54;0.44;0.42;0.56;0.64
meronymy - member;0.50;0.54;0.34;0.30;0.38;0.42
meronymy - part;0.42;0.50;0.32;0.40;0.34;0.42
synonymy - intensity;0.28;0.40;0.2;0.10;0.28;0.36
synonymy - exact;0.36;0.44;0.28;0.16;0.32;0.40
antonymy - gradable;0.62;0.82;0.70;0.68;0.72;0.70
antonymy - binary;0.58;0.62;0.64;0.50;0.64;0.68
